elig,lwage,vet,yob
0,5.1963,1,51
0,4.6742001,0,52
0,4.9882002,1,53
0,5.2591,0,50
1,5.9422002,0,53
1,5.2591,0,50
1,5.6454,0,53
0,5.7445998,0,51
0,5.2591,1,52
0,5.8014002,0,50
0,5.6015,0,51
1,5.3544002,0,53
0,5.6237001,0,51
1,4.6634002,0,51
0,5.7782001,1,50
1,5.8469,0,50
0,5.3544002,0,52
0,5.8764,1,53
1,6.092,0,50
1,5.5215001,0,53
0,5.3989,0,51
0,5.1648002,1,53
0,5.8903999,1,52
0,5.1357999,0,53
0,4.2844,0,51
0,5.4805999,1,51
0,4.8734002,0,52
0,5.5956001,1,53
0,5.4822001,0,52
1,5.1849999,0,53
1,6.1103001,0,52
0,5.2982998,0,52
0,5.0106001,0,52
0,5.9717002,1,50
0,6.0009999,0,53
0,5.901,0,52
0,5.2763,0,50
0,5.7897,1,51
0,5.6645999,0,52
0,4.9415998,1,53
0,4.8283,0,51
0,5.4137998,1,52
0,5.3544002,0,50
0,5.4414001,1,51
0,3.9921,0,53
0,5.3532,0,50
1,4.0551,0,53
1,5.3297,0,51
0,5.0423999,0,50
0,5.4902,0,53
1,4.6317,0,53
1,5.6015,0,50
0,4.0577998,1,50
1,5.1536999,0,50
1,5.0483999,1,51
0,4.9415998,0,50
1,5.3512998,1,50
0,5.4414001,0,50
0,5.2672,0,53
0,5.8832998,0,50
1,5.5956001,0,53
1,5.8743,0,50
0,5.3544002,0,53
0,5.4414001,0,52
1,5.901,0,51
1,4.8474002,1,51
0,5.6645999,0,51
0,5.5137,0,50
1,4.0551,0,50
0,5.5222001,0,53
1,4.3993001,0,51
1,5.506,0,53
0,6.5118999,0,53
0,5.3878999,1,51
0,5.9521999,0,50
1,4.3179998,0,50
1,5.8469,1,52
0,4.9977002,0,50
0,4.7483001,0,50
0,5.3079,1,53
0,5.2781,0,50
0,5.1204,0,51
0,4.9825001,0,53
0,5.1648002,0,51
1,6.092,0,50
0,5.6778002,0,50
0,5.8957,0,51
0,6.0323,1,50
0,5.1929998,0,51
0,4.8283,0,53
0,5.7838001,0,53
0,5.8469,0,50
0,5.2182999,0,50
1,5.4130001,1,52
0,5.2627001,0,51
0,5.0159998,0,50
0,5.1536999,0,50
0,5.8091002,1,50
1,5.2020998,0,52
0,5.2077999,0,52
0,5.506,0,51
0,5.2886,1,50
1,5.5215001,0,51
0,5.8469,1,53
0,5.8357,1,51
0,5.5215001,1,53
